,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Developer,Publisher,Year Released,Month Released,Game Type,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6
0,Elden Ring,25-Feb-22,"['Bandai Namco Entertainment', 'FromSoftware']",4.5,3.9K,3900,"['Adventure', 'RPG']",17000,3.8K,4.6K,4.8K,From Software,Bandai Namco Entertainment,2022,Feb,AAA,Adventure,RPG,,,,
1,Hades,10-Dec-19,['Supergiant Games'],4.3,2.9K,2900,"['Adventure', 'Brawler', 'Indie', 'RPG']",21000,3.2K,6.3K,3.6K,,,2019,Dec,Indie,Adventure,Brawler,Indie,RPG,,
2,The Legend of Zelda: Breath of the Wild,3-Mar-17,"['Nintendo', 'Nintendo EPD Production Group No. 3']",4.4,4.3K,4300,"['Adventure', 'RPG']",30000,2.5K,5K,2.6K,Nintendo,Nintendo,2017,Mar,AAA,Adventure,RPG,,,,
3,Undertale,15-Sep-15,"['tobyfox', '8-4']",4.2,3.5K,3500,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",28000,679,4.9K,1.8K,Toby Fox,Toby Fox,2015,Sep,Indie,Adventure,Indie,RPG,Turn Based Strategy,,
4,Hollow Knight,24-Feb-17,['Team Cherry'],4.4,3K,3000,"['Adventure', 'Indie', 'Platform']",21000,2.4K,8.3K,2.3K,Team Cherry,Team Cherry,2017,Feb,Indie,Adventure,Indie,Platform,,,
5,Minecraft,18-Nov-11,['Mojang Studios'],4.3,2.3K,2300,"['Adventure', 'Simulator']",33000,1.8K,1.1K,230,Mojang,Mojang,2011,Nov,Indie,Adventure,Simulator,,,,
7,Metroid Dread,7-Oct-21,"['Nintendo', 'MercurySteam']",4.3,2.1K,2100,"['Adventure', 'Platform']",9200,759,3.4K,3.3K,Nintendo,Nintendo,2021,Oct,AAA,Adventure,Platform,,,,
9,NieR: Automata,23-Feb-17,"['PlatinumGames', 'Square Enix']",4.3,2.9K,2900,"['Brawler', 'RPG']",18000,1.1K,6.2K,3.6K,PlatinumGames,Square Enix,2017,Feb,AAA,Brawler,RPG,,,,
10,Persona 5 Royal,31-Oct-19,"['Atlus USA', 'Atlus']",4.4,2.7K,2700,"['Adventure', 'RPG', 'Turn Based Strategy']",12000,2.3K,5.1K,3K,,,2019,Oct,AAA,Adventure,RPG,Turn Based Strategy,,,
11,Stray,19-Jul-22,"['BlueTwelve Studio', 'Annapurna Interactive']",3.7,1.5K,1500,"['Adventure', 'Indie']",7700,801,2.5K,3.4K,Blue Twelve Studio,Annapurna Interactive,2022,Jul,Indie,Adventure,Indie,,,,
12,God of War,20-Apr-18,"['Sony Interactive Entertainment', 'SIE Santa Monica Studio']",4.2,2.9K,2900,"['Adventure', 'Brawler', 'RPG']",21000,1.1K,4.8K,2.6K,,,2018,Apr,AAA,Adventure,Brawler,RPG,,,
13,Portal 2,18-Apr-11,"['Valve', 'Electronic Arts']",4.4,2.9K,2900,"['Adventure', 'Platform', 'Puzzle', 'Shooter']",29000,471,3.9K,1.2K,Valve Software,Valve,2011,Apr,AAA,Adventure,Platform,Puzzle,Shooter,,
14,Bloodborne,24-Mar-15,"['FromSoftware', 'Sony Computer Entertainment']",4.5,3.4K,3400,"['Adventure', 'RPG']",17000,1.1K,5.6K,3.3K,From Software,Sony Computer Entertainment,2015,Mar,AAA,Adventure,RPG,,,,
15,Celeste,25-Jan-18,"['Extremely OK Games', 'Maddy Makes Games']",4.2,2.8K,2800,"['Adventure', 'Indie', 'Platform']",20000,1.2K,5.9K,2K,Matt Makes Games Inc.,Matt Makes Games Inc.,2018,Jan,Indie,Adventure,Indie,Platform,,,
16,Yakuza 0,12-Mar-15,"['RyÅ« Ga Gotoku Studios', 'Sega']",4.4,2.7K,2700,"['Adventure', 'Brawler', 'RPG', 'Simulator']",15000,1.8K,6.4K,2K,,,2015,Mar,AAA,Adventure,Brawler,RPG,Simulator,,
17,Red Dead Redemption 2,26-Oct-18,"['Take-Two Interactive', 'Rockstar Games']",4.4,2.9K,2900,"['Adventure', 'RPG', 'Shooter']",19000,1.7K,5.5K,2.9K,Rockstar Studios,Rockstar Games,2018,Oct,AAA,Adventure,RPG,Shooter,,,
18,Portal,10-Oct-07,"['Valve', 'Electronic Arts']",4.1,2K,2000,"['Platform', 'Puzzle', 'Shooter']",28000,244,2.7K,1.1K,Valve,Valve,2007,Oct,AAA,Platform,Puzzle,Shooter,,,
19,Super Mario Odyssey,27-Oct-17,['Nintendo'],4.2,2.9K,2900,"['Adventure', 'Platform']",25000,710,2.9K,2K,Nintendo EPD,Nintendo,2017,Oct,AAA,Adventure,Platform,,,,
20,PokÃ©mon Legends: Arceus,28-Jan-22,"['Nintendo', 'Game Freak']",3.7,1.6K,1600,"['Adventure', 'RPG', 'Turn Based Strategy']",9100,1.6K,2.5K,2.1K,Game Freak,Nintendo,2022,Jan,AAA,Adventure,RPG,Turn Based Strategy,,,
21,Hi-Fi Rush,25-Jan-23,"['Tango Gameworks', 'Bethesda Softworks']",4.3,926,926,"['Adventure', 'Brawler', 'Music', 'Platform']",3000,866,1.5K,2K,,,2023,Jan,AAA,Adventure,Brawler,Music,Platform,,
22,Metal Gear Rising: Revengeance,19-Feb-13,"['Konami', 'PlatinumGames']",4.1,2.1K,2100,"['Adventure', 'Brawler', 'Shooter', 'Strategy']",14000,492,4.2K,2K,PlatinumGames,Konami Digital Entertainment,2013,Feb,AAA,Adventure,Brawler,Shooter,Strategy,,
23,Grand Theft Auto V,17-Sep-13,"['Rockstar North', 'Rockstar Games']",3.8,2.1K,2100,"['Adventure', 'Shooter']",30000,829,3.2K,664,Rockstar North,Rockstar Games,2013,Sep,AAA,Adventure,Shooter,,,,
24,Cyberpunk 2077,9-Dec-20,['CD Projekt RED'],3.3,1.5K,1500,"['Adventure', 'RPG', 'Shooter']",13000,1.5K,4.7K,2.9K,CD Projekt Red Studio,CD Projekt Red Studio,2020,Dec,AAA,Adventure,RPG,Shooter,,,
25,God of War RagnarÃ¶k,9-Nov-22,"['Sony Interactive Entertainment', 'SIE Santa Monica Studio']",4.4,1.7K,1700,"['Adventure', 'Brawler']",5300,801,2K,3.3K,,,2022,Nov,AAA,Adventure,Brawler,,,,
26,Xenoblade Chronicles 3,29-Jul-22,"['Monolith Soft', 'Nintendo']",4.4,1.4K,1400,"['Adventure', 'RPG']",3900,795,2.1K,2.2K,Monolith Soft,Nintendo,2022,Jul,AAA,Adventure,RPG,,,,
27,Kirby and the Forgotten Land,25-Mar-22,"['HAL Laboratory', 'Nintendo']",4.2,1.6K,1600,"['Adventure', 'Platform']",5900,955,2.5K,3.1K,HAL Laboratory,Nintendo,2022,Mar,AAA,Adventure,Platform,,,,
29,Marvel's Spider-Man,7-Sep-18,"['Insomniac Games', 'Sony Interactive Entertainment']",4.1,2.5K,2500,"['Adventure', 'Brawler']",21000,577,2.9K,2.2K,Insomniac Games,Sony Interactive Entertainment,2018,Sep,AAA,Adventure,Brawler,,,,
30,Dark Souls III,24-Mar-16,"['Bandai Namco Entertainment', 'FromSoftware']",4.2,2.4K,2400,"['Adventure', 'RPG']",19000,851,4.3K,2.2K,From Software,Bandai Namco Entertainment,2016,Mar,AAA,Adventure,RPG,,,,
31,NieR Replicant ver.1.22474487139...,22-Apr-21,"['Toylogic', 'Square Enix']",4.2,1.5K,1500,"['Adventure', 'RPG']",6700,880,4.1K,3.7K,Toylogic,Square Enix,2021,Apr,AAA,Adventure,RPG,,,,
32,Super Mario 64,23-Jun-96,"['Nintendo', 'Nintendo EAD']",4.1,2.6K,2600,"['Adventure', 'Platform']",21000,463,2.5K,775,Nintendo EAD,Nintendo,1996,Jun,AAA,Adventure,Platform,,,,
33,Super Smash Bros. Ultimate,7-Dec-18,"['Sora', 'Nintendo']",4.1,2.5K,2500,"['Fighting', 'Platform']",25000,1.2K,1.1K,801,Bandai Namco Games,Nintendo,2018,Dec,AAA,Fighting,Platform,,,,
34,Cuphead,29-Sep-17,['Studio MDHR'],4.1,1.9K,1900,"['Arcade', 'Indie', 'Platform', 'Shooter']",18000,1.2K,4.5K,2.6K,Studio MDHR,Studio MDHR,2017,Sep,Indie,Arcade,Indie,Platform,Shooter,,
35,Sekiro: Shadows Die Twice,22-Mar-19,"['FromSoftware', 'Activision']",4.4,2.3K,2300,"['Adventure', 'Brawler']",14000,919,4.8K,3.4K,From Software,Activision,2019,Mar,AAA,Adventure,Brawler,,,,
36,Final Fantasy VII,31-Jan-97,"['Square', 'Eidos Interactive']",4.2,2.9K,2900,"['Adventure', 'RPG', 'Turn Based Strategy']",15000,1.1K,5K,1.5K,Square,Sony Computer Entertainment,1997,Jan,AAA,Adventure,RPG,Turn Based Strategy,,,
37,Persona 4 Golden,15-Jun-12,"['NIS America', 'Atlus']",4.2,1.9K,1900,"['Adventure', 'RPG', 'Simulator', 'Visual Novel']",13000,1.5K,5.2K,2.2K,Atlus,Atlus,2012,Jun,AAA,Adventure,RPG,Simulator,Visual Novel,,
39,Signalis,27-Oct-22,"['rose-engine', 'Humble Games']",4.2,820,820,"['Adventure', 'Indie']",2200,419,1.9K,2.2K,,,2022,Oct,Indie,Adventure,Indie,,,,
40,Resident Evil Village,6-May-21,['Capcom'],3.9,1.8K,1800,"['Adventure', 'Shooter']",9900,333,2.8K,2.8K,,,2021,May,AAA,Adventure,Shooter,,,,
