,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Developer,Publisher,Year Released,Month Released,Game Type,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Total Sales,North American Sales,Japan Sales,PAL Sales,Other Sales,Console
2,The Legend of Zelda: Breath of the Wild,3-Mar-17,"['Nintendo', 'Nintendo EPD Production Group No. 3']",4.4,4.3K,4300,"['Adventure', 'RPG']",30000,2.5K,5K,2.6K,Nintendo,Nintendo,2017,Mar,AAA,Adventure,RPG,,,,,,,,,,"['NS', 'WiiU']"
3,Undertale,15-Sep-15,"['tobyfox', '8-4']",4.2,3.5K,3500,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",28000,679,4.9K,1.8K,Toby Fox,Toby Fox,2015,Sep,Indie,Adventure,Indie,RPG,Turn Based Strategy,,,,,,,,['PC']
4,Hollow Knight,24-Feb-17,['Team Cherry'],4.4,3K,3000,"['Adventure', 'Indie', 'Platform']",21000,2.4K,8.3K,2.3K,Team Cherry,Team Cherry,2017,Feb,Indie,Adventure,Indie,Platform,,,,,,,,,"['Series', 'PC']"
5,Minecraft,18-Nov-11,['Mojang Studios'],4.3,2.3K,2300,"['Adventure', 'Simulator']",33000,1.8K,1.1K,230,Mojang,Mojang,2011,Nov,Indie,Adventure,Simulator,,,,,,,,,,"['iOS', 'And', 'Series']"
9,NieR: Automata,23-Feb-17,"['PlatinumGames', 'Square Enix']",4.3,2.9K,2900,"['Brawler', 'RPG']",18000,1.1K,6.2K,3.6K,PlatinumGames,Square Enix,2017,Feb,AAA,Brawler,RPG,,,,,,,,,,"['PS4', 'PC']"
13,Portal 2,18-Apr-11,"['Valve', 'Electronic Arts']",4.4,2.9K,2900,"['Adventure', 'Platform', 'Puzzle', 'Shooter']",29000,471,3.9K,1.2K,Valve Software,Valve,2011,Apr,AAA,Adventure,Platform,Puzzle,Shooter,,,1.71,0.83,0.02,0.62,0.24,"['PC', 'X360', 'PS3']"
14,Bloodborne,24-Mar-15,"['FromSoftware', 'Sony Computer Entertainment']",4.5,3.4K,3400,"['Adventure', 'RPG']",17000,1.1K,5.6K,3.3K,From Software,Sony Computer Entertainment,2015,Mar,AAA,Adventure,RPG,,,,,,,,,,['PS4']
15,Celeste,25-Jan-18,"['Extremely OK Games', 'Maddy Makes Games']",4.2,2.8K,2800,"['Adventure', 'Indie', 'Platform']",20000,1.2K,5.9K,2K,Matt Makes Games Inc.,Matt Makes Games Inc.,2018,Jan,Indie,Adventure,Indie,Platform,,,,,,,,,"['PS4', 'XOne', 'NS', 'PC']"
17,Red Dead Redemption 2,26-Oct-18,"['Take-Two Interactive', 'Rockstar Games']",4.4,2.9K,2900,"['Adventure', 'RPG', 'Shooter']",19000,1.7K,5.5K,2.9K,Rockstar Studios,Rockstar Games,2018,Oct,AAA,Adventure,RPG,Shooter,,,,5.77,3.76,,1.47,0.54,"['PS4', 'XOne']"
18,Portal,10-Oct-07,"['Valve', 'Electronic Arts']",4.1,2K,2000,"['Platform', 'Puzzle', 'Shooter']",28000,244,2.7K,1.1K,Valve,Valve,2007,Oct,AAA,Platform,Puzzle,Shooter,,,,,,,,,['Series']
19,Super Mario Odyssey,27-Oct-17,['Nintendo'],4.2,2.9K,2900,"['Adventure', 'Platform']",25000,710,2.9K,2K,Nintendo EPD,Nintendo,2017,Oct,AAA,Adventure,Platform,,,,,,,,,,['NS']
22,Metal Gear Rising: Revengeance,19-Feb-13,"['Konami', 'PlatinumGames']",4.1,2.1K,2100,"['Adventure', 'Brawler', 'Shooter', 'Strategy']",14000,492,4.2K,2K,PlatinumGames,Konami Digital Entertainment,2013,Feb,AAA,Adventure,Brawler,Shooter,Strategy,,,0.5,0.3,,0.15,0.05,"['PS3', 'X360']"
23,Grand Theft Auto V,17-Sep-13,"['Rockstar North', 'Rockstar Games']",3.8,2.1K,2100,"['Adventure', 'Shooter']",30000,829,3.2K,664,Rockstar North,Rockstar Games,2013,Sep,AAA,Adventure,Shooter,,,,,15.86,9.06,0.06,5.33,1.42,"['PS3', 'X360']"
